City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,shingu,33.7333,135.9833,7.77,59,0,2.82,JP,1678138680
126,hofn,64.2539,-15.2082,-5.04,58,67,9.03,IS,1678138680
127,mufulira,-12.5498,28.2407,17.37,97,95,0.7,ZM,1678138680
128,sept-iles,50.2001,-66.3821,7.24,71,100,4.63,CA,1678138681
129,whitianga,-36.8333,175.7,19.69,67,1,1.26,NZ,1678138650
130,east london,-33.0153,27.9116,21.29,79,83,6.03,ZA,1678138681
131,matara,5.9485,80.5353,23.13,91,13,3.89,LK,1678138681
132,nikolskoye,59.7035,30.7861,-5.06,98,91,1.61,RU,1678138682
133,bacolod,10.6667,122.95,24.39,86,55,6.09,PH,1678138682
134,mount gambier,-37.8333,140.7667,13.58,66,94,5.27,AU,1678138540
135,thunder bay,48.4001,-89.3168,3.99,56,75,3.09,CA,1678138683
136,bandarbeyla,9.4942,50.8122,24.82,77,6,6.28,SO,1678138685
137,san patricio,28.017,-97.5169,30.97,55,89,6.6,US,1678138685
138,altona,53.55,9.9333,2.3,77,100,5.14,DE,1678138685
139,nantucket,41.2835,-70.0995,9.08,36,0,9.77,US,1678138585
140,novobirilyussy,56.9514,90.6661,-2.95,90,100,6.26,RU,1678138686
141,basco,20.4487,121.9702,21.63,57,65,8.45,PH,1678138686
142,makakilo city,21.3469,-158.0858,25.18,81,75,6.17,US,1678138686
143,ribeira grande,38.5167,-28.7,17.22,94,75,12.07,PT,1678138687
144,souillac,-20.5167,57.5167,25.21,94,75,0.0,MU,1678138687
145,ancud,-41.8697,-73.8203,13.05,86,100,0.92,CL,1678138688
146,namibe,-15.1961,12.1522,21.8,77,20,1.91,AO,1678138688
147,krasnoselkup,65.7,82.4667,-13.68,95,100,5.14,RU,1678138688
148,mahebourg,-20.4081,57.7,25.16,94,75,0.0,MU,1678138688
149,ambon,-3.6954,128.1814,25.13,15,40,1.54,ID,1678138689
150,biala podlaska,52.0324,23.1165,0.07,98,100,4.83,PL,1678138689
151,kruisfontein,-34.0033,24.7314,17.16,86,84,1.95,ZA,1678138690
152,changji,44.0167,87.3167,1.44,80,0,2.0,CN,1678138690
153,hokitika,-42.7167,170.9667,16.43,60,83,0.75,NZ,1678138690
154,spirovo,57.419,34.9766,-10.76,97,76,2.29,RU,1678138691
155,bilma,18.6853,12.9164,28.02,10,8,2.98,NE,1678138691
156,severnyy,50.677,36.5532,-3.98,92,0,3.13,RU,1678138692
157,castelo do piaui,-5.3222,-41.5525,27.61,58,93,1.08,BR,1678138692
158,bladel,51.3683,5.2208,4.97,90,75,5.66,NL,1678138692
159,hambantota,6.1241,81.1185,24.19,100,0,2.06,LK,1678138693
160,qaqortoq,60.7167,-46.0333,-4.13,97,59,1.85,GL,1678138693
161,deputatskiy,69.3,139.9,-25.19,98,100,1.26,RU,1678138693
162,laupheim,48.2333,9.8833,2.6,72,75,1.54,DE,1678138694
163,uriangato,20.15,-101.1833,30.17,10,74,2.98,MX,1678138694
164,isangel,-19.55,169.2667,26.86,72,17,6.77,VU,1678138451
165,linxia,35.6003,103.2064,5.25,43,100,0.74,CN,1678138694
166,port blair,11.6667,92.75,25.22,76,0,2.62,IN,1678138695
167,seidu,9.0167,-10.6,23.04,79,100,1.45,SL,1678138695
168,butaritari,3.0707,172.7902,27.0,78,81,5.15,KI,1678138695
169,hammerfest,70.6634,23.6821,-11.75,85,0,1.03,NO,1678138696
170,vrede,-27.4257,29.1659,12.4,78,4,2.91,ZA,1678138456
171,hualmay,-11.0964,-77.6139,24.63,71,82,4.31,PE,1678138696
172,ballina,-28.8667,153.5667,24.88,81,0,5.01,AU,1678138697
173,dandong,40.1292,124.3947,2.59,87,3,1.08,CN,1678138697
174,cranbrook,49.4999,-115.7688,-1.09,40,40,1.03,CA,1678138626
175,lipin bor,60.2622,37.9763,-10.23,99,99,1.84,RU,1678138697
176,aklavik,68.2191,-135.0107,-25.0,77,0,1.54,CA,1678138698
177,betioky,-23.7167,44.3833,22.9,92,100,7.3,MG,1678138698
178,marystown,47.1666,-55.1483,-2.8,85,89,3.08,CA,1678138698
179,pitsunda,43.1592,40.3378,3.1,82,93,1.63,GE,1678138699
180,trelaze,47.45,-0.4667,5.59,74,0,2.06,FR,1678138699
181,alappuzha,9.49,76.3264,25.03,80,66,1.76,IN,1678138699
182,aginskoye,51.1,114.53,-7.06,94,100,2.32,RU,1678138700
183,gurupa,-1.405,-51.64,24.29,97,83,2.13,BR,1678138700
184,roald,62.5833,6.1333,-0.69,93,75,2.06,NO,1678138701
185,doha,25.2867,51.5333,24.99,34,0,2.06,QA,1678138701
186,sao joao da barra,-21.6403,-41.0511,27.05,88,100,7.65,BR,1678138702
187,orsha,54.5153,30.4053,-7.32,88,93,3.77,BY,1678138702
188,kimbe,-5.5502,150.1429,25.93,89,97,0.69,PG,1678138702
189,naryan-mar,67.6713,53.087,-28.05,96,86,1.42,RU,1678138703
